"","sd2.lon","sd2.lat"
"305",-117.6667,35.6167
"306",-120.9667,35.85
"307",-122.3,40.5667
"308",-118.8167,36.1167
"309",-119.5333,36.1167
"310",-121.95,40.65
"311",-118.9833,36.3667
"312",-116.85,36.5167
"313",-120.85,36.65
"314",-124.1667,40.85
"315",-121.3833,36.8167
"316",-119.6667,36.8833
"317",-121.75,36.9
"318",-119.6667,36.9167
"319",-121.6,37.1167
"320",-121.2,37.6333
"321",-123.0167,37.7
"322",-122.8333,37.95
"323",-120.3667,38
"324",-122.35,41.4667
"325",-120.2833,41.5
"326",-124.0167,41.5167
"327",-122.0833,38.1333
"328",-122.6167,38.1333
"329",-122.8833,38.1333
"330",-122.8833,38.1667
"331",-120.2,41.55
"332",-121.3,38.2667
"333",-121.75,38.3
"334",-122.4167,38.55
"335",-121.14375,38.9758
"336",-116.39859,33.28411
"337",-122.18705,40.42375
"338",-122.39773,38.57145
"339",-122.31822,37.21469
"340",-124.1565,40.86534
"341",-120.9481,39.93621
"342",-118.9173,35.4311
"343",-116.9,34.2833
"344",-122.10943,38.1143
"345",-121.81445,36.32815
"346",-118.47761,37.36113
"347",-118.66101,35.09453
"348",-118.14259,35.41033
"349",-119.2617,35.2272
"350",-114.5956,33.6103
"351",-120.4144,38.2108
"352",-124.24284,40.64203
"353",-121.99233,37.9538
"354",-117.7056,35.65176
"355",-118.49818,34.4499
"356",-122.71993,38.93923
"357",-117.70729,34.13839
"358",-119.48387,34.43025
"359",-121.8238,39.722
"360",-119.85,35.24999
"361",-121.76166,37.1897
"362",-122.37506,37.51844
"363",-122.60935,38.1382
"364",-119.9516,34.6501
"365",-121.17401,37.60607
"366",-117.862,35.1622
"367",-119.75801,34.01127
"368",-117.018,33.62701
"369",-124.17121,41.84465
"370",-116.86682,36.46189
"371",-121.789,37.60902
"372",-121.67804,37.91175
"373",-117.33305,33.66671
"374",-116.94029,33.10245
"375",-122.90644,41.49324
"376",-123.78258,39.39976
"377",-121.09739,38.66182
"378",-121.48993,41.06157
"379",-118.4167,34.6333
"380",-120.207,37.79
"381",-121.13593,39.23018
"382",-118.8167,35.65
"383",-122.0667,37.6068
"384",-120.42293,40.3434
"385",-121.3667,36.8
"386",-116.76911,33.71122
"387",-119.46662,37.08572
"388",-116.09972,34.05235
"389",-119.0667,36.3667
"390",-118.45881,35.66246
"391",-118.37935,34.04769
"392",-118.09079,33.8533
"393",-121.3919,38.87044
"394",-122.75,40.7167
"395",-116.72549,33.21117
"396",-119.7,36.95
